[a, b, c]
[a, b, d]
[a, b, e]
[a, b, f]
[a, c, b]
[a, c, d]
[a, c, e]
[a, c, f]
[a, d, b]
[a, d, c]
[a, d, e]
[a, d, f]
[a, e, b]
[a, e, c]
[a, e, d]
[a, e, f]
[a, f, b]
[a, f, c]
[a, f, d]
[a, f, e]
[b, a, c]
[b, a, d]
[b, a, e]
[b, a, f]
[b, c, a]
[b, c, d]
[b, c, e]
[b, c, f]
[b, d, a]
[b, d, c]
[b, d, e]
[b, d, f]
[b, e, a]
[b, e, c]
[b, e, d]
[b, e, f]
[b, f, a]
[b, f, c]
[b, f, d]
[b, f, e]
[c, a, b]
[c, a, d]
[c, a, e]
[c, a, f]
[c, b, a]
[c, b, d]
[c, b, e]
[c, b, f]
[c, d, a]
[c, d, b]
[c, d, e]
[c, d, f]
[c, e, a]
[c, e, b]
[c, e, d]
[c, e, f]
[c, f, a]
[c, f, b]
[c, f, d]
[c, f, e]
[d, a, b]
[d, a, c]
[d, a, e]
[d, a, f]
[d, b, a]
[d, b, c]
[d, b, e]
[d, b, f]
[d, c, a]
[d, c, b]
[d, c, e]
[d, c, f]
[d, e, a]
[d, e, b]
[d, e, c]
[d, e, f]
[d, f, a]
[d, f, b]
[d, f, c]
[d, f, e]
[e, a, b]
[e, a, c]
[e, a, d]
[e, a, f]
[e, b, a]
[e, b, c]
[e, b, d]
[e, b, f]
[e, c, a]
[e, c, b]
[e, c, d]
[e, c, f]
[e, d, a]
[e, d, b]
[e, d, c]
[e, d, f]
[e, f, a]
[e, f, b]
[e, f, c]
[e, f, d]
[f, a, b]
[f, a, c]
[f, a, d]
[f, a, e]
[f, b, a]
[f, b, c]
[f, b, d]
[f, b, e]
[f, c, a]
[f, c, b]
[f, c, d]
[f, c, e]
[f, d, a]
[f, d, b]
[f, d, c]
[f, d, e]
[f, e, a]
[f, e, b]
[f, e, c]
[f, e, d]
